Silver Veins,Andrew West,Australian,Macmillan,2016,360,Thriller
Fallen Stars,Lisa Russell,British,Bloomsbury,2012,310,Fantasy
The Emerald Gate,Jonathan Price,American,Orbit,2018,290,Adventure
Hallowed Ground,Amanda Kelley,Canadian,Vintage,2014,320,Historical Fiction
Twilight Reckoning,Brandon Harris,Australian,HarperCollins,2011,350,Thriller
The Shadow Crown,Stephanie Simmons,British,Random House,2017,370,Fantasy
Crimson Dusk,Nathan Ross,American,Simon & Schuster,2018,300,Horror
The Silent Citadel,Katherine Burns,Canadian,Penguin,2015,280,Mystery
Shattered Crown,Anthony Boyd,Australian,Macmillan,2013,360,Fantasy
Blood and Ashes,Christina Jordan,British,Bloomsbury,2016,340,Historical Fiction
Oblivion Rising,Patrick Clarke,American,Orbit,2019,420,Science Fiction
Eclipse of Fate,Michelle Ellis,Canadian,Vintage,2014,310,Thriller
The Golden Mirage,William Spencer,Australian,HarperCollins,2012,330,Adventure
Harry Potter,Joanne Rowlong,British,Bradshelly,1986,3407,Fantastic
Kanski Atlas,Jack Kanski,America,America,1900,4000,science
